ymd,vax,vax_lb,vax_ub
2021-04-23,0.5658853148857219,0.5545676085880075,0.5772030211834364
2021-04-24,0.5695118300118203,0.5581215934115838,0.5809020666120567
2021-04-25,0.5712732129898646,0.5598477487300673,0.5826986772496618
2021-04-26,0.5747631069208314,0.5632678447824148,0.5862583690592481
2021-04-27,0.5788951400052513,0.5673172372051463,0.5904730428053564
2021-04-28,0.583159985802127,0.5714967860860845,0.5948231855181696
2021-04-29,0.5873008151663119,0.5755547988629857,0.5990468314696382
2021-04-30,0.5914152700051855,0.5795869646050817,0.6032435754052892
2021-05-01,0.5939568505716041,0.582077713560172,0.6058359875830361
2021-05-02,0.5951492886056037,0.5832463028334915,0.6070522743777158
2021-05-03,0.59754475502871085,0.5855938599281366,0.6094956501292851
2021-05-04,0.6006191666340925,0.5886067833014107,0.6126315499667744
2021-05-05,0.6036491913934267,0.5915762075655581,0.6157221752212952
2021-05-06,0.6065701657712047,0.5944387624557806,0.6187015690866288
2021-05-07,0.6095301325650946,0.5973395299137927,0.6217207352163965
2021-05-08,0.6113950886496559,0.5991671868766627,0.623622990422649
2021-05-09,0.6121510000081649,0.5999079800080016,0.6243940200083282
2021-05-10,0.613992242624593,0.6017123977721011,0.6262720874770848
2021-05-11,0.6164388237900357,0.6041100473142349,0.6287676002658364
2021-05-12,0.6187237215167467,0.6063492470864118,0.6310981959470816
2021-05-13,0.6209887369184227,0.6085689621800543,0.6334085116567911
2021-05-14,0.6237113806984929,0.611237153084523,0.6361856083124627
2021-05-15,0.625657803952267,0.6131446478732216,0.6381709600313124
2021-05-16,0.6267048983471853,0.6141708003802416,0.6392389963141291
2021-05-17,0.6290345738006445,0.6164538823246316,0.6416152652766575
2021-05-18,0.6317064851713997,0.6190723554679717,0.6443406148748277
2021-05-19,0.6342731784318583,0.6215877148632211,0.6469586420004955
2021-05-20,0.6367948921029329,0.6240589942608743,0.6495307899449916
2021-05-21,0.6393404889734106,0.6265536791939423,0.6521272987528788
2021-05-22,0.6411279432838479,0.628305384418171,0.6539505021495249
2021-05-23,0.6420453449798329,0.6292044380802362,0.6548862518794296
2021-05-24,0.6439287074057803,0.6310501332576647,0.656807281553896
2021-05-25,0.6459217937467334,0.6330033578717987,0.6588402296216681
2021-05-26,0.6478064571621059,0.6348503280188638,0.6607625863053481
2021-05-27,0.6496283049116168,0.6366357388133845,0.6626208710098491
2021-05-28,0.6514077459262013,0.6383795910076773,0.6644359008447254
2021-05-29,0.6525313627636148,0.6394807355083425,0.6655819900188871
2021-05-30,0.6531465779222818,0.6400836463638362,0.6662095094807274
2021-05-31,0.6534325556599563,0.6403639045467572,0.6665012067731554
2021-06-01,0.6550450482373489,0.6419441472726019,0.6681459492020959
2021-06-02,0.656535787139064,0.6434050713962828,0.6696665028818453
2021-06-03,0.6579338544154979,0.6447751773271879,0.6710925315038079
2021-06-04,0.6594382540461863,0.6462494889652626,0.67262701912711
2021-06-05,0.6604382088688157,0.6472294446914393,0.673646973046192
2021-06-06,0.6609282970544875,0.6477097311133978,0.6741468629955772
2021-06-07,0.6620457377297544,0.6488048229751593,0.6752866524843495
2021-06-08,0.6632652725258955,0.6499999670753775,0.6765305779764135
2021-06-09,0.664439637465742,0.6511508447164271,0.6777284302150568
2021-06-10,0.6656672215703697,0.6523538771389623,0.6789805660017771
2021-06-11,0.6669719453101588,0.6536325064039556,0.680311384216362
2021-06-12,0.66780484528973,0.6544487483839354,0.6811609421955247
2021-06-13,0.6681718324723315,0.6548083958228849,0.6815352691217781
2021-06-14,0.669184193996838,0.6558005101169012,0.6825678778767749
2021-06-15,0.6702944969818182,0.6568886070421818,0.6837003869214546
2021-06-16,0.6713902942888637,0.6579624884030864,0.684818100174641
2021-06-17,0.6724727790111017,0.6590233234308797,0.6859222345913237
2021-06-18,0.6736233579703553,0.6601508908109482,0.6870958251297624
2021-06-19,0.6743326761481628,0.6608460226251995,0.6878193296711261
2021-06-20,0.6746799849844881,0.6611863852847983,0.6881735846841779
2021-06-21,0.6756050305227531,0.6620929299122981,0.6891171311332082
2021-06-22,0.6766091756386909,0.6630769921259171,0.6901413591514648
2021-06-23,0.6776346579051548,0.6640819647470516,0.6911873510632579
2021-06-24,0.6786251406846019,0.6650526378709098,0.6921976434982939
2021-06-25,0.6797243377808371,0.6661298510252203,0.6933188245364539
2021-06-26,0.6804200777219045,0.6668116761674664,0.6940284792763426
2021-06-27,0.6808114375793352,0.6671952088277484,0.6944276663309219
2021-06-28,0.6816548930315864,0.6680217951709547,0.6952879908922182
2021-06-29,0.6825754686704308,0.6689239592970222,0.6962269780438395
2021-06-30,0.683524019771278,0.6698535393758523,0.6971945001667036
2021-07-01,0.6844353618131696,0.6707466545769062,0.6981240690494329
2021-07-02,0.6854028908328743,0.6716948330162168,0.6991109486495318
2021-07-03,0.6859785624927728,0.6722589912429173,0.6996981337426282
2021-07-04,0.6860721250366522,0.6723506825359191,0.6997935675373852
2021-07-05,0.6867077796767048,0.6729736240831707,0.7004419352702389
2021-07-06,0.6875741161445055,0.6738226338216153,0.7013255984673956
2021-07-07,0.688464308466521,0.6746950222971905,0.7022335946358514
2021-07-08,0.6893812767370379,0.6755936512022971,0.7031689022717786
2021-07-09,0.6904094935698866,0.6766013036984888,0.7042176834412843
2021-07-10,0.691063625522839,0.6772423530123821,0.7048848980332958
2021-07-11,0.6914215264165823,0.6775930958882507,0.7052499569449139
2021-07-12,0.692272380285297,0.6784269326795911,0.706117827891003
2021-07-13,0.6931376645715558,0.6792749112801246,0.707000417862987
2021-07-14,0.694003913523949,0.68012383525347,0.707883991794428
2021-07-15,0.6949184988749131,0.6810201288974148,0.7088168688524114
2021-07-16,0.6959943843951504,0.6820744967072474,0.7099142720830534
2021-07-17,0.6966838524266357,0.6827501753781029,0.7106175294751684
2021-07-18,0.6971014576930148,0.6831594285391545,0.7110434868468751
2021-07-19,0.6981460065195205,0.6841830863891301,0.712108926649911
2021-07-20,0.6992962947988615,0.6853103689028842,0.7132822206948387
2021-07-21,0.7005010155454963,0.6864909952345863,0.7145110358564062
2021-07-22,0.7018010940195907,0.6877650721391988,0.7158371158999826
2021-07-23,0.703341694056873,0.6892748601757355,0.7174085279380105
2021-07-24,0.7042973024480537,0.6902113563990926,0.7183832484970147
2021-07-25,0.7049270809254276,0.690828539306919,0.7190256225439361
2021-07-26,0.7063342695368413,0.6922075841461045,0.7204609549275781
2021-07-27,0.707845302614497,0.693688396562207,0.7220022086667869
2021-07-28,0.7093899068915461,0.6952021087537152,0.723577705029377
2021-07-29,0.7109467185497942,0.6967277841787983,0.72516565292079
2021-07-30,0.7127676317716498,0.6985122791362168,0.7270229844070828
2021-07-31,0.7138523492189887,0.6995753022346088,0.7281293962033685
2021-08-01,0.7145552909748251,0.7002641851553285,0.7288463967943216
2021-08-02,0.7161360264379216,0.7018133059091631,0.7304587469666801
2021-08-03,0.7178167648791781,0.7034604295815945,0.7321731001767617
2021-08-04,0.7195440695485558,0.7051531881575847,0.7339349509395269
2021-08-05,0.7212965982245102,0.7068706662600199,0.7357225301890005
2021-08-06,0.7232665990611215,0.708801267079899,0.7377319310423439
2021-08-07,0.7244366711247312,0.7099479377022365,0.7389254045472259
2021-08-08,0.7251708905200802,0.7106674727096786,0.7396743083304819
2021-08-09,0.7267725669558209,0.7122371156167046,0.7413080182949373
2021-08-10,0.7284286346936409,0.7138600619997681,0.7429972073875137
2021-08-11,0.7299938966978811,0.7153940187639234,0.7445937746318387
2021-08-12,0.7316221944096583,0.7169897505214651,0.7462546382978514
2021-08-13,0.7334579302946878,0.718788771688794,0.7481270889005815
2021-08-14,0.7345673093761473,0.7198759631886243,0.7492586555636703
2021-08-15,0.7352377169833285,0.720532962643662,0.7499424713229951
2021-08-16,0.7367647631639717,0.7220294679006922,0.7515000584272511
