"dgm","model","est","posrate","bias"
"walk","walk",0.815480067716825,0.755310125996594,0.0601699417202306
"walk","unbiased",0.82348803486757,0.755310125996594,0.0681779088709762
"constant","const",0.464801047010589,0.52742305548225,-0.0626220084716613
"constant","linear",0.455064746338312,0.52742305548225,-0.0723583091439377
"constant","walk",0.462722966024559,0.52742305548225,-0.0647000894576908
"constant","unbiased",0.472153915341909,0.52742305548225,-0.0552691401403411
"linear","const",0.287572268750695,0.350202846041851,-0.0626305772911556
"linear","linear",0.293220823881416,0.350202846041851,-0.0569820221604345
"linear","walk",0.290038667188858,0.350202846041851,-0.0601641788529932
"linear","unbiased",0.305569230724897,0.350202846041851,-0.0446336153169535
"walk","const",0.673800867866828,0.607489241606971,0.0663116262598574
"walk","linear",0.644769728470091,0.607489241606971,0.0372804868631201
"walk","walk",0.620335133065997,0.607489241606971,0.0128458914590263
"walk","unbiased",0.611796577283102,0.607489241606971,0.00430733567613084
"constant","const",0.597115586399951,0.570114495665779,0.0270010907341722
"constant","linear",0.573270524960409,0.570114495665779,0.00315602929462977
"constant","walk",0.585730988859394,0.570114495665779,0.0156164931936145
"constant","unbiased",0.543535453426856,0.570114495665779,-0.0265790422389232
"linear","const",0.0484176441651142,0.0409979308496623,0.00741971331545194
"linear","linear",0.051202103796717,0.0409979308496623,0.0102041729470548
"linear","walk",0.047803484366886,0.0409979308496623,0.00680555351722371
"linear","unbiased",0.0396985414108963,0.0409979308496623,-0.00129938943876597
"walk","const",0.593741683514888,0.631416978147737,-0.0376752946328485
"walk","linear",0.596176628613504,0.631416978147737,-0.0352403495342324
"walk","walk",0.631631117858224,0.631416978147737,0.000214139710487782
"walk","unbiased",0.641671433140613,0.631416978147737,0.0102544549928767
"constant","const",0.541756578395026,0.567911820880383,-0.0261552424853566
"constant","linear",0.555863231603863,0.567911820880383,-0.0120485892765199
"constant","walk",0.554325260275041,0.567911820880383,-0.0135865606053416
"constant","unbiased",0.595444271744181,0.567911820880383,0.0275324508637981
"linear","const",0.790673515777262,0.790615586504379,5.79292728829506e-05
"linear","linear",0.792158573958999,0.790615586504379,0.00154298745461945
"linear","walk",0.790905701888643,0.790615586504379,0.000290115384263601
"linear","unbiased",0.779719174487471,0.790615586504379,-0.0108964120169081
"walk","const",0.713990192943159,0.68087917586603,0.0331110170771293
"walk","linear",0.726273697183003,0.68087917586603,0.0453945213169733
"walk","walk",0.719808373430212,0.68087917586603,0.0389291975641828
"walk","unbiased",0.715404332090164,0.68087917586603,0.0345251562241348
"constant","const",0.290357193702806,0.290935445305986,-0.000578251603180813
"constant","linear",0.288048438820239,0.290935445305986,-0.00288700648574758
"constant","walk",0.276786391977192,0.290935445305986,-0.014149053328794
"constant","unbiased",0.230151824966246,0.290935445305986,-0.0607836203397404
"linear","const",0.258848661367854,0.28809475159789,-0.0292460902300362
"linear","linear",0.303169022502813,0.28809475159789,0.0150742709049232
"linear","walk",0.279221089282927,0.28809475159789,-0.00887366231496289
